gene,LMP_R1,LMP_R2,LMP_R3,LMP_R4,NML_genes.fpkm,PSO2_R1,PSO2_R2,PSO2_R3,PSO3_R1,PSO3_R2,PSO3_R3,PSO3_R4
GLRX,16.926,11.0087,8.65074,10.5104,7.48348,25.676,79.0241,4.86697,3.93152,6.52283,7.98839,19.5326
GLRX5,24.7409,25.7958,19.7782,29.3936,32.6535,24.8353,53.3396,0,2.72553,16.7268,20.6716,0
GLS,17.1842,0,11.2034,0,0,0,84.886,4.32162,0,0,0,0
GLT25D1,0,0,0,0,0,0,0,0,12.2873,0,0,0
GLTP,12.0028,11.7892,7.9767,10.7586,11.2326,23.7281,29.1999,18.7,4.69369,6.62439,15.7014,8.9105
GLTSCR1L,5.14629,5.37256,0,5.16662,2.59954,4.43799,3.43934,3.49962,0,0,1.32932,0
GLTSCR2,199.093,200.85,115.166,183.239,245.344,110.015,56.7346,43.3121,32.8164,107.996,89.4957,22.6223
GLUD2,0,0,0,0,0,7.88398,0,0,0,0,0,0
GLYATL2,0.0272598,0,0,0,0,3.52852,0.0285347,0,0.0286787,0.220388,1.04204,0.105712
GLYCTK,2.10572,0,6.4788,2.71435,0.423998,1.09404,3.19017,2.23135,0.295157,0.499524,0.543925,0.4806
GLYR1,0,0,0,0,0,0,0,0,0,0,0,8.6428
GM2A,0,10.856,0,0,0,0,0,0,0,0,5.64772,0
GMDS,15.7665,22.7094,8.67317,29.707,0,12.1299,26.2764,5.09787,6.23475,0,4.80387,2.27181
GMFB,8.98168,0,4.67605,0,0,6.44069,0,5.09726,0,3.646,0,0
GMNC,0,0,0,0,0,2.03361,0,0,0,0,7.73869,0
GMPR2,40.9519,52.1633,0,45.7692,0,30.3661,42.4354,19.5746,0,9.34006,15.0277,5.93838
GNA11,0,0,0,0,0,0,0,0,0,4.70076,0,0
GNA12,10.6458,0,0,0,18.0909,11.6511,17.7566,5.20266,0.725586,0,0,5.15036
GNA14,3.83209,1.74114,1.12827,0.277393,3.10219,0.873498,0.739963,0.18351,0.0450698,0.12628,0.157748,0.227651
GNAI1,4.71939,7.92631,4.62063,2.17493,3.45891,3.16169,4.81499,1.48986,0.60508,0.676613,0,0.837352
GNAI3,13.3501,27.9042,7.84078,21.4264,8.81998,0,32.1579,10.1233,5.04287,6.85182,5.2996,0
GNAZ,5.71719,16.039,6.55916,4.32217,0.255034,0.566039,0,0.164207,0.147258,0.0530374,0.328159,0.125843
GNB1,0,106.218,0,0,56.6682,0,0,0,0,0,31.4424,0
GNB2,117.006,150.745,109.127,257.856,130.886,157.581,91.6901,134.519,46.0065,34.4006,46.9033,28.4593
GNB3,0,0,0,0,0,0,0,0,3.6783,0,0,0
GNB5,11.6334,10.5498,7.93455,7.74914,12.2793,8.37463,6.43626,6.17626,2.22732,1.27459,0,0
GNE,3.52832,4.4704,2.86958,3.10917,2.89252,0,0,1.53544,0,0,2.04369,0
GNG11,43.0221,21.4473,44.3037,2.22684,208.712,26.7011,36.52,6.55512,2.31011,4.98781,11.1169,18.3602
GNG2,4.81419,2.85845,3.22829,1.13518,3.50641,0,0,0.962111,0.369141,0.912564,0,1.60832
GNG4,0.616508,2.47327,2.75743,1.13585,0.0988244,2.81215,0.345699,0.251197,0.0869279,0.0737766,0,0.145367
GNG7,1.12133,1.15245,1.26554,0.154247,7.96297,1.64733,2.44926,1.57332,1.34332,0.372405,0.817564,0
GNLY,0,0,0,0,0,0,0,20.0059,0,0,0,0
GNN,0,0.670318,0,0,0,0,0,0,0,0,0,0
GNPDA2,6.60013,0,4.00964,0,5.14643,3.63861,5.56772,2.33387,0,0,0,0.864958
GNPNAT1,0,0,0,0,0,0,0,0,1.98896,0,0,0
GNS,0,0,0,0,0,0,0,0,0,0,0,6.93365
GOLGA3,0,1080.63,0,6.55741,7.5124,16.4665,12.7014,9.08132,0,5.42035,8.77514,2.71673
GOLGA5,0,0,0,0,0,0,0,0,0,6.00072,0,0
GOLM1,23.3648,32.59,24.9305,33.9202,6.53023,29.4048,23.9426,19.5691,0,10.3146,17.3059,0
GOLT1B,7.94331,7.58182,3.65507,4.9343,5.06005,8.96654,19.4411,4.48705,4.8679,3.37574,0,0
GORASP2,38.4817,40.4983,0,41.0728,13.7726,35.0477,42.3311,20.1769,13.322,15.4235,18.2249,5.5065
GOSR2,0,0,0,0,0,0,0,0,0,3.43932,0,0
GOT1,15.243,20.1978,13.7897,17.1566,9.03696,12.18,12.2346,13.4549,0,5.13685,5.18407,2.9041
GOT2,0,0,0,0,0,0,0,0,0,0,0,8.75345
GP1BB;SEPT5;SEPT5-GP1BB,10.8479,6.02164,5.71462,4.25706,0,11.1688,1.22557,3.86067,0.643174,2.16813,2.42984,1.28934
GPC3,11.3501,1.09699,1.4929,0.0750956,37.1762,2.95089,5.47227,4.52823,0.0755141,2.70347,2.49257,0
GPC6,2.49823,1.83836,0.70005,0.370347,1.47096,3.86387,16.6959,0.332254,0.0765678,1.38749,0,2.31042
GPD1L,5.29296,5.02134,3.64715,5.18833,14.6031,3.44062,3.48816,3.41729,1.00253,0,0,3.33929
GPD2,21.1082,19.4376,0,13.9962,0.959923,0,9.51778,0,0,3.98487,0,2.27402
GPHN,4.86186,6.90424,3.55562,4.86542,1.76645,1.72662,6.88028,0,0.537877,0,0,0
GPM6A,1.07985,3.84326,4.13118,0.485179,1.14816,0.439824,0.0951364,0.267806,1.55687,0.323892,0.164839,0.751073
GPNMB,19.4321,10.097,5.32724,1.2476,24.7163,140.35,176.124,12.6425,4.29428,15.1772,17.0817,200.135
GPR107,12.8057,17.3045,9.87671,0,5.76603,13.7987,13.359,3.56672,4.25901,3.96241,4.63549,0
GPR108,28.5494,54.1042,24.1911,35.654,23.35,19.9449,23.6513,16.0826,12.5428,13.7844,17.9474,9.12968
GPR110,0,7.91507,0,0,0,0,0,0,0,0,0,0
GPR112,0.00746346,0.00247285,0,0,0.390469,0.00800626,0.0208852,0.00427747,0.00888683,0.054382,0.0315441,0.0668306
GPR114,0,0,0,0,0,1.11381,0,0,0,0,0,0
GPR115,0.127377,2.38383,0.339989,1.20928,0,3.43025,0.853546,1.37567,0.153464,0.182938,0.0567398,0.0504773
GPR116,4.99724,0.596648,1.71295,0.296679,11.1028,2.90423,11.8682,1.0559,2.29063,3.02802,2.97924,0
GPR123,0.176561,1.24845,1.01039,0.46683,0,0.303796,0.0313033,0.11517,0,0,0.0295034,0.0784199
GPR132,0,0,0,0,0,0,0,5.37946,0,0,0,0
GPR133,3.03037,0.0802591,0.150029,0.0199767,0,0.903111,0.775164,0.0435103,0.0368427,0.228362,0,0.200394
GPR137B,0,0,6.00583,0,1.52055,10.7944,19.0744,0,0.267321,0,2.49649,0
GPR153,3.43976,5.65039,1.92676,5.07327,10.3326,9.96019,7.26283,8.02841,1.13072,1.7553,2.91112,2.42023
GPR161,3.62279,2.76337,0.813548,2.51114,5.35254,3.06452,2.39512,3.23542,0.516781,0.47464,1.41526,0
GPR174,0,0,0,0,0,0,2.73959,0,0,0,0,0
GPR176,1.95005,0.404856,0.297863,0.0939483,0.910113,3.61786,6.16749,0.651843,0.121661,0.667753,0.850323,1.05166
GPR182,0.0884398,0,0.0568901,0.0470674,1.07903,0,0,0,0.0452597,0.0973492,0.0405023,0.14541
GPR19,0.156963,0.178661,0.0703534,0.0229897,0,0.706459,0.788409,1.69929,0.455902,0.313062,0,0.0797175
GPR55,0.422909,1.07617,0.590153,0,0,0.263977,0.164913,0.379824,0.0480939,0.0517613,0.0816706,0.108409
GPR56,0,0,0,0,1.54857,0,27.1006,0,0,0,0,0
GPR64,2.81563,8.20947,1.95361,1.33895,18.1798,0,1.19949,0,5.45415,2.28294,5.23688,1.62451
GPR65,0.696185,0.430215,0.289555,0.202203,0.153011,3.07856,4.45849,0.269491,0.258725,0.478041,0.587646,0.649441
GPR84,2.96878,1.18475,0.476641,0.956293,0.21888,4.53034,0,1.59338,0.613787,0,0.92378,1.09237
GPRC5A;MIR614,0,0,0,45.6367,0,0,0,23.4819,0,0,0,0
GPRC5C,0,63.2566,0,0,0,0,0,0,0,12.2414,0,0
GPRIN1,0.956049,2.18184,0.902785,2.56192,0,0.388372,7.90888,2.51478,0.0248664,0.457138,0.221483,0.178192
GPRIN3,0,0,0,0,0,0,2.2414,0,0,0,0,0
GPSM3;NOTCH4,15.0335,9.97024,7.40841,13.7349,7.23215,30.4941,27.2574,31.9646,10.4996,7.10955,8.11524,16.0958
GPT,1.81216,0.679905,0.179417,0,0.221308,7.07037,0.12798,11.1138,13.6184,0,0,0
GPT2,6.96218,7.99265,5.24559,9.84843,0.952045,16.0493,5.60648,12.7565,0,4.01929,5.24905,0
GPX1,273.48,371.504,231.405,512.435,99.3203,519.489,390.767,374.007,58.3025,151.48,115.92,256.978
GPX4,165.535,250.303,266.692,364.335,191.091,201.515,128.767,227.399,50.9692,102.228,56.3092,88.8086
GRAMD1C,8.33338,13.8699,13.4316,7.26411,0.500007,3.66117,0.838423,0,6.2436,0,2.32563,0
GRAMD2,3.26614,7.85687,11.5836,1.31433,0.267071,0,0.300584,8.48269,0,0,1.4562,1.56829
GRB2,27.1785,33.8391,16.4711,23.2082,16.0897,37.8382,58.5949,0,6.47195,10.6729,10.9698,0
GRB7,37.899,41.2672,0,68.2303,0.694106,16.6909,2.59822,44.3433,43.6683,21.1929,13.486,4.42262
GREB1,0,15.4446,0,12.3071,4.3266,11.2208,0.121223,1.48468,0.555542,1.20743,0.816013,1.76109
GREM2,0.342555,0.2255,0.530033,0.00765008,1.05853,0.456075,0.0862903,0.0522072,0,0,0.124421,0.1931
GRHL1,0.888376,2.41659,0.854525,2.16226,0,10.6524,1.95877,0,9.09078,4.51783,3.09498,0.232603
GRHL2,6.04501,8.55449,0,9.66001,0.113097,5.77452,3.50468,0,0,0,5.789,0.812162
